BALADA,hebraico,ele deu um filho - 2 Rs 20:12
BALADÃO,hebraico,ele deu um filho - 2 Rs 20:12
BALAO,hebraico,devorador - Dt 23:4
BALAQUE,hebraico,devastador; gastando - Nm 22:10
BALOTE,hebraico,que produz leite - 1 Rs 4:16
BALTAZAR,assírio,amigo do rei; o que proteje o rei
BAMA,hebraico,lugar alto - Ez 20:29
BAMOTE,hebraico,lugares altos - Nm 21:19
BAMOTE-BAAL,hebraico,lugar alto de Baal - Nm 21:19
BANCA,hebraico,saídas (das águas) - 1 Cr 8:37
BANI,hebraico,edificado; posteridade - 2 Sm 23:26; Ne 8:7
BAQUEDACAR,hebraico,procura diligente - 1 Cr 9:15
BAQUEDUQUE,hebraico,frasco - Ne 7:53
BAQUEBUQUIAS,hebraico,fraco; Jeová vazio - Ne 11:17
BAR,aramaico,filho (I); prefixo de nome de pessoas
BAR-JESUS,grego,filho de Jesus; Josué - At 13:6
BAR-JONAS,grego,filho de Jonas - Mt 16:17
BARAQUE,hebraico,relâmpago - Jz 4:6
BARAQUEL,hebraico,abençoado por Deus - Jo 32:2
BARAQUIAS,hebraico,Jeová abençoou - Mt 23:35
BARCOS,hebraico,pintor; filho que segue o pai - Ed 2:53
BARIA,hebraico,fugitivo - 1 Cr 3:22
BARRABÁS,grego,filho de rabi - Mt 27:16
BARSABÁS,aramaico,filho de Sabá; filho de exaltação - At 1:23 - At 15:22
BARTIMEU,aramaico,filho de Timeu; filho honroso - Mc 10:46
BARTOLOMEU,aramaico,filho de Tolmai; Timeu; filho que levante as águas - Mt 10:3
BARUC,hebraico,abençoado - Ba 1:1
BARUQUE,hebraico,abençoado - Jr 32:12
BARZILAI,hebraico,feito de ferro do Senhor - 2 Sm 19:31
BASA,hebraico,terra fértil - Dt 3:4
BASA-HONOTE-JAIR,hebraico,nome da terra de Jair - Dt 3:14
BASAÍAS,hebraico,obra do Senhor - 1 Cr 6:40
BASEMATE,hebraico,fragância; cheiro agradável - Gn 26:34
BASIA,hebraico,obra de Jeová - 1 Cr 6:40
BASLITE,hebraico,nudez - Ne 7:54
BASMATE,hebraico,fragância,cheiro agradável
BATE-SEBA,hebraico,filho do juramento; sétima filha - 2 Sm 11:3
BATE - SUA,hebraico,filha da opulência; filha sua - Gn 38:2 - 1 Cr 3:5
BAUL,hebraico,pela misericórdia de Deus - Ne 3:18
BAURIM,hebraico,vila de jovens - 2 Sm 16:5
BAZLUTE,hebraico,nudez - Ed 2:52
BAVAI,hebraico,pela misericórdia de Deus - Ne 3:18
BAVAL,hebraico,pela misericórdia de Deus - Ne 3:18
BEALÍAS,hebraico,Jeová é o Senhor - 1 Cr 12:5
BEALOTE,hebraico,senhora; senhoras possuidoras - Js 15:24
BEBAI,hebraico,pai - Ed 8:11
BECA,hebraico,metade - Ex 38:26
BECOR,hebraico,camelo novo - Gn 46:21
BECORATE,hebraico,primogenitura - 1 Sm 9:1
BEDÃ,hebraico,filho de Dã; filho de juízo - 1 Cr 7:17
BEDADE,hebraico,sozinho - Gn 36:35
BEDEÍAS,hebraico,servo de Jeová - Ed 10:35
BEDIAS,hebraico,servo de Jeová - Ed 10:35
BEELIADA,hebraico,conhecido de Baal; o senhor tem conhecido - 1 Cr 14:7
BEEMOTE,hebraico,cavalo do rio; hipopótamo - Jo 40:15
BEER,hebraico,poço - Nm 21:16
BEER-ELIM,poço de Elim; poço dos heróis - Is 15:8
BEER-LAAI-ROI,hebraico,poço daquele que me vê; vive - Gn 16:14
BEERA,hebraico,poço - 1 Cr 5:6
BEERI,hebraico,meu poço - Gn 26:34
BEEROTE,hebraicos,poços - 2 Sm 4:2
BEEROTE-BENE-JACA,hebraico,poços dos filhos de Jaca - Dt 10:6
BEESTRA,hebraico,templo; casa de Astarate - Js 21:27
BEESTERA,hebraico,templo; casa de Astarate - Js 21:27
BEL,hebraico,Senhor - Is 46:1
BELA,hebraico,destruição - Gn 36:22
BELÉM,hebraico,casa de pão - Gn 35:19
BELGA,hebraico,prazenteiro - II Mac 3:4
BELIAL,hebraico,indignidade; perversidade; senhor da morte - Dt 13:13
BELMA,hebraico,ilustre - Jt 7:3
BELSAZAR,babilônico,Bel protege o rei - Dn 5:1
